"state_id","state","year","CIE10","mortalidad","cve_cie","morbilidad","letalidad"
1,"Aguascalientes",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",136,"A00-B99",1729,0.07865818392134181
1,"Aguascalientes",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",157,"A00-B99",1516,0.10356200527704486
1,"Aguascalientes",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",117,"A00-B99",1571,0.07447485677912158
1,"Aguascalientes",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",109,"A00-B99",1493,0.07300736771600803
1,"Aguascalientes",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",117,"A00-B99",1600,0.073125
1,"Aguascalientes",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",109,"A00-B99",1316,0.08282674772036475
1,"Aguascalientes",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",152,"A00-B99",1062,0.1431261770244821
2,"Baja California",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",831,"A00-B99",3241,0.2564023449552607
2,"Baja California",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",996,"A00-B99",3936,0.2530487804878049
2,"Baja California",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",856,"A00-B99",3837,0.22309095647641386
2,"Baja California",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",921,"A00-B99",2515,0.3662027833001988
2,"Baja California",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",983,"A00-B99",3191,0.3080539015982451
2,"Baja California",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",997,"A00-B99",870,1.145977011494253
2,"Baja California",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1091,"A00-B99",2517,0.43345252284465635
3,"Baja California Sur",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",102,"A00-B99",1516,0.06728232189973615
3,"Baja California Sur",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",96,"A00-B99",1693,0.05670407560543414
3,"Baja California Sur",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",118,"A00-B99",1522,0.07752956636005257
3,"Baja California Sur",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",72,"A00-B99",1482,0.048582995951417005
3,"Baja California Sur",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",93,"A00-B99",1579,0.05889803673210893
3,"Baja California Sur",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",102,"A00-B99",1227,0.08312958435207823
3,"Baja California Sur",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",108,"A00-B99",1275,0.08470588235294117
4,"Campeche",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",143,"A00-B99",2599,0.05502116198537899
4,"Campeche",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",146,"A00-B99",2713,0.0538149649834132
4,"Campeche",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",134,"A00-B99",5568,0.024066091954022987
4,"Campeche",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",144,"A00-B99",6863,0.02098207780853854
4,"Campeche",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",145,"A00-B99",4662,0.0311025311025311
4,"Campeche",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",141,"A00-B99",1848,0.0762987012987013
4,"Campeche",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",158,"A00-B99",1345,0.11747211895910781
5,"Coahuila de Zaragoza",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",402,"A00-B99",1842,0.2182410423452769
5,"Coahuila de Zaragoza",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",453,"A00-B99",1947,0.23266563944530047
5,"Coahuila de Zaragoza",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",376,"A00-B99",1782,0.21099887766554434
5,"Coahuila de Zaragoza",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",281,"A00-B99",1669,0.16836428999400838
5,"Coahuila de Zaragoza",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",289,"A00-B99",1139,0.2537313432835821
5,"Coahuila de Zaragoza",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",308,"A00-B99",12,25.666666666666668
5,"Coahuila de Zaragoza",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",426,"A00-B99",531,0.8022598870056498
6,"Colima",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",120,"A00-B99",1226,0.09787928221859707
6,"Colima",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",144,"A00-B99",979,0.1470888661899898
6,"Colima",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",118,"A00-B99",1230,0.0959349593495935
6,"Colima",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",120,"A00-B99",3903,0.030745580322828592
6,"Colima",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",112,"A00-B99",1725,0.06492753623188406
6,"Colima",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",115,"A00-B99",864,0.13310185185185186
6,"Colima",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",148,"A00-B99",879,0.16837315130830488
7,"Chiapas",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1169,"A00-B99",10818,0.10806063967461638
7,"Chiapas",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1156,"A00-B99",11229,0.10294772464155312
7,"Chiapas",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1085,"A00-B99",18625,0.05825503355704698
7,"Chiapas",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1100,"A00-B99",16295,0.06750536974532065
7,"Chiapas",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1183,"A00-B99",11388,0.10388127853881278
7,"Chiapas",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",969,"A00-B99",4974,0.1948130277442702
7,"Chiapas",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1010,"A00-B99",3226,0.31308121512709236
8,"Chihuahua",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",674,"A00-B99",345,1.953623188405797
8,"Chihuahua",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",690,"A00-B99",1495,0.46153846153846156
8,"Chihuahua",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",664,"A00-B99",2026,0.32773938795656465
8,"Chihuahua",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",634,"A00-B99",3169,0.20006311139160618
8,"Chihuahua",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",552,"A00-B99",5030,0.10974155069582504
8,"Chihuahua",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",605,"A00-B99",973,0.6217882836587872
8,"Chihuahua",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",694,"A00-B99",3612,0.1921373200442968
9,"Ciudad de México",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1967,"A00-B99",12342,0.15937449359909253
9,"Ciudad de México",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1955,"A00-B99",11104,0.17606268011527376
9,"Ciudad de México",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1799,"A00-B99",11725,0.15343283582089554
9,"Ciudad de México",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1681,"A00-B99",9977,0.16848752129898767
9,"Ciudad de México",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1683,"A00-B99",7914,0.21266110689916604
9,"Ciudad de México",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1646,"A00-B99",9555,0.17226582940868654
9,"Ciudad de México",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",2012,"A00-B99",10033,0.20053822386125786
10,"Durango",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",180,"A00-B99",3114,0.057803468208092484
10,"Durango",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",204,"A00-B99",2502,0.0815347721822542
10,"Durango",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",196,"A00-B99",3871,0.05063291139240506
10,"Durango",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",175,"A00-B99",4054,0.0431672422298964
10,"Durango",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",160,"A00-B99",3968,0.04032258064516129
10,"Durango",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",126,"A00-B99",2681,0.04699738903394256
10,"Durango",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",182,"A00-B99",2110,0.08625592417061612
11,"Guanajuato",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",535,"A00-B99",7865,0.06802288620470438
11,"Guanajuato",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",554,"A00-B99",8143,0.06803389414220803
11,"Guanajuato",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",420,"A00-B99",8564,0.04904250350303596
11,"Guanajuato",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",427,"A00-B99",7742,0.05515370705244123
11,"Guanajuato",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",437,"A00-B99",6901,0.06332415591943197
11,"Guanajuato",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",510,"A00-B99",6356,0.0802391441157961
11,"Guanajuato",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",548,"A00-B99",5786,0.0947113722779122
12,"Guerrero",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",556,"A00-B99",4982,0.111601766358892
12,"Guerrero",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",632,"A00-B99",4932,0.1281427412814274
12,"Guerrero",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",526,"A00-B99",6933,0.07586903216500793
12,"Guerrero",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",533,"A00-B99",6030,0.08839137645107795
12,"Guerrero",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",519,"A00-B99",5749,0.09027656983823273
12,"Guerrero",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",397,"A00-B99",2727,0.1455812247891456
12,"Guerrero",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",449,"A00-B99",2264,0.19832155477031801
13,"Hidalgo",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",278,"A00-B99",1429,0.19454163750874737
13,"Hidalgo",2013,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",274,"A00-B99",2317,0.11825636599050496
13,"Hidalgo",2014,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",183,"A00-B99",2650,0.06905660377358491
13,"Hidalgo",2015,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",193,"A00-B99",3098,0.062298256939961265
13,"Hidalgo",2016,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",214,"A00-B99",3026,0.07072042300066093
13,"Hidalgo",2017,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",239,"A00-B99",2809,0.08508365966536134
13,"Hidalgo",2018,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",254,"A00-B99",2730,0.09304029304029304
14,"Jalisco",2012,"Ciertas enfermedades infecciosas y parasitarias (A00-B99)",1114,"A00-B99",10043,0.11092303096684257
